RAY,270.16,272.83,275.49,278.16,280.83,283.49,286.16,288.82,291.49,294.16,296.82,297.94,299.06,300.18,301.29,302.41,303.53,304.65,305.76,306.88,308,308.58,309.16,309.74,310.32,310.9,311.48,312.07,312.65,313.23,313.81,314.23,314.65,315.08,315.5,315.92,316.34,316.76,317.19,317.61,318.03,318.54,319.05,319.56,320.07,320.58,321.09,321.6,322.12,322.63,323.14,323.84,324.54,325.25,325.95,326.66,327.36,328.06,328.77,329.47,330.18,330.99,331.8,332.6,333.41,334.22,335.03,335.84,336.65,337.46,338.27,339.08,339.89,340.7,341.51,342.32,343.13,343.94,344.75,345.56,346.37,347.13,347.9,348.66,349.43,350.2,350.96,351.73,352.49,353.26,354.02,354.68,355.34,356,356.66,357.32,357.98,358.64,359.3,359.96,360.62,50,254
SM3,270.48,279.43,288.37,297.32,306.26,315.21,319.9,324.59,329.28,333.96,338.65,339.1,339.54,339.98,340.43,340.87,342.02,343.16,344.31,345.46,346.6,347.95,349.3,350.65,351.99,353.34,354.25,355.16,356.06,356.97,357.88,358.71,359.54,360.37,361.2,362.03,362.61,363.19,363.77,364.35,364.93,365.65,366.37,367.09,367.82,368.54,369.22,369.89,370.57,371.25,371.92,372.21,372.5,372.78,373.07,373.36,373.81,374.26,374.71,375.17,375.62,376.62,377.63,378.63,379.64,380.64,381.39,382.14,382.89,383.65,384.4,384.86,385.33,385.8,386.26,386.73,387.17,387.61,388.05,388.49,388.93,389.35,389.78,390.2,390.63,391.05,391.48,391.91,392.34,392.76,393.19,393.87,394.56,395.24,395.92,396.6,397.1,397.6,398.1,398.6,399.1,74,288
IONIQ,261.12,271.7,282.28,292.85,303.43,314.01,317.49,320.98,324.46,327.94,331.42,332.02,332.62,333.22,333.82,334.42,334.55,334.69,334.83,334.97,335.11,336.26,337.4,338.54,339.69,340.83,341.35,341.88,342.4,342.93,343.45,343.96,344.47,344.98,345.49,346,346.5,347.01,347.52,348.03,348.53,348.96,349.39,349.81,350.24,350.67,351.24,351.81,352.38,352.95,353.52,354.08,354.64,355.2,355.76,356.32,357.19,358.06,358.93,359.8,360.67,361.58,362.49,363.39,364.3,365.21,366.23,367.24,368.26,369.28,370.3,371.48,372.66,373.84,375.01,376.19,377.27,378.34,379.42,380.49,381.57,382.55,383.53,384.52,385.5,386.48,387.27,388.06,388.84,389.63,390.42,391.65,392.88,394.1,395.33,396.56,397.35,398.14,398.92,399.71,400.5,78.8,288
SOUL 14,261.12,271.7,282.28,292.85,303.43,314.01,317.49,320.98,324.46,327.94,331.42,332.02,332.62,333.22,333.82,334.42,334.55,334.69,334.83,334.97,335.11,336.26,337.4,338.54,339.69,340.83,341.35,341.88,342.4,342.93,343.45,343.96,344.47,344.98,345.49,346,346.5,347.01,347.52,348.03,348.53,348.96,349.39,349.81,350.24,350.67,351.24,351.81,352.38,352.95,353.52,354.08,354.64,355.2,355.76,356.32,357.19,358.06,358.93,359.8,360.67,361.58,362.49,363.39,364.3,365.21,366.23,367.24,368.26,369.28,370.3,371.48,372.66,373.84,375.01,376.19,377.27,378.34,379.42,380.49,381.57,382.55,383.53,384.52,385.5,386.48,387.27,388.06,388.84,389.63,390.42,391.65,392.88,394.1,395.33,396.56,397.35,398.14,398.92,399.71,400.5,75,288
SOUL 15,261.12,271.7,282.28,292.85,303.43,314.01,317.49,320.98,324.46,327.94,331.42,332.02,332.62,333.22,333.82,334.42,334.55,334.69,334.83,334.97,335.11,336.26,337.4,338.54,339.69,340.83,341.35,341.88,342.4,342.93,343.45,343.96,344.47,344.98,345.49,346,346.5,347.01,347.52,348.03,348.53,348.96,349.39,349.81,350.24,350.67,351.24,351.81,352.38,352.95,353.52,354.08,354.64,355.2,355.76,356.32,357.19,358.06,358.93,359.8,360.67,361.58,362.49,363.39,364.3,365.21,366.23,367.24,368.26,369.28,370.3,371.48,372.66,373.84,375.01,376.19,377.27,378.34,379.42,380.49,381.57,382.55,383.53,384.52,385.5,386.48,387.27,388.06,388.84,389.63,390.42,391.65,392.88,394.1,395.33,396.56,397.35,398.14,398.92,399.71,400.5,80,288
NIRO,281.26,289.86,298.47,307.07,315.68,324.28,326.61,328.95,331.28,333.61,335.94,337.12,338.3,339.47,340.65,341.82,342.76,343.69,344.62,345.55,346.49,347.3,348.11,348.92,349.73,350.54,350.69,350.85,351.01,351.16,351.32,351.52,351.72,351.92,352.12,352.33,353.06,353.79,354.53,355.26,355.99,356.44,356.89,357.33,357.78,358.22,358.52,358.81,359.11,359.4,359.69,360.33,360.96,361.59,362.22,362.85,363.75,364.64,365.53,366.42,367.31,368.35,369.4,370.44,371.49,372.53,373.7,374.87,376.05,377.22,378.39,379.38,380.38,381.37,382.37,383.37,384.35,385.33,386.31,387.29,388.27,389.32,390.37,391.42,392.48,393.53,394.83,396.13,397.43,398.74,400.04,400.99,401.94,402.89,403.84,404.79,405.3,405.81,406.33,406.84,407.35,180,294
KONA,281.26,289.86,298.47,307.07,315.68,324.28,326.61,328.95,331.28,333.61,335.94,337.12,338.3,339.47,340.65,341.82,342.76,343.69,344.62,345.55,346.49,347.3,348.11,348.92,349.73,350.54,350.69,350.85,351.01,351.16,351.32,351.52,351.72,351.92,352.12,352.33,353.06,353.79,354.53,355.26,355.99,356.44,356.89,357.33,357.78,358.22,358.52,358.81,359.11,359.4,359.69,360.33,360.96,361.59,362.22,362.85,363.75,364.64,365.53,366.42,367.31,368.35,369.4,370.44,371.49,372.53,373.7,374.87,376.05,377.22,378.39,379.38,380.38,381.37,382.37,383.37,384.35,385.33,386.31,387.29,388.27,389.32,390.37,391.42,392.48,393.53,394.83,396.13,397.43,398.74,400.04,400.99,401.94,402.89,403.84,404.79,405.3,405.81,406.33,406.84,407.35,180,294
